2020-03-25 15:20:13 ERROR main:15 - sdsd
2020-03-25 15:23:04 ERROR Logos.daos.UserDao:33 - 333
2020-03-25 15:23:04 ERROR Logos.daos.UserDao:34 - 333
2020-03-25 15:23:04 ERROR Logos.daos.UserDao:35 - 333@33
2020-03-25 15:23:04 ERROR Logos.daos.UserDao:36 - 333
2020-03-25 15:30:10 ERROR Logos.daos.ProductDao:30 - Name 222
2020-03-25 15:30:10 ERROR Logos.daos.ProductDao:31 - des 222
2020-03-25 15:30:10 ERROR Logos.daos.ProductDao:32 - price 222.0
2020-03-25 15:31:02 ERROR Logos.daos.ProductDao:30 - Name 222
2020-03-25 15:31:02 ERROR Logos.daos.ProductDao:31 - des 222
2020-03-25 15:31:02 ERROR Logos.daos.ProductDao:32 - price 222.0
2020-03-25 15:31:34 ERROR Logos.daos.ProductDao:30 - Name 333
2020-03-25 15:31:34 ERROR Logos.daos.ProductDao:31 - des 333
2020-03-25 15:31:34 ERROR Logos.daos.ProductDao:32 - price 333.0
2020-03-25 15:33:16 ERROR Logos.daos.ProductDao:30 - Name 1
2020-03-25 15:33:16 ERROR Logos.daos.ProductDao:31 - des 1
2020-03-25 15:33:16 ERROR Logos.daos.ProductDao:32 - price 1.0
2020-03-25 15:33:28 ERROR Logos.daos.ProductDao:30 - Name 3
2020-03-25 15:33:28 ERROR Logos.daos.ProductDao:31 - des 3
2020-03-25 15:33:28 ERROR Logos.daos.ProductDao:32 - price 3.0
2020-03-25 15:34:04 ERROR Logos.daos.ProductDao:30 - Name 1
2020-03-25 15:34:04 ERROR Logos.daos.ProductDao:31 - des 1
2020-03-25 15:34:04 ERROR Logos.daos.ProductDao:32 - price 1.0
2020-03-25 15:35:24 ERROR Logos.daos.ProductDao:30 - Name 67
2020-03-25 15:35:24 ERROR Logos.daos.ProductDao:31 - des 67
2020-03-25 15:35:24 ERROR Logos.daos.ProductDao:32 - price 67.0
